"species","model","bic","r_squared","rmse","mae","bias","aic","loglik","results_key"
"PM","weibull_model",1314.69442916029,0.665325103806186,3.70074606501255,2.83114886510302,-0.087715018340725,1300.82218859575,-646.411094297873,"PM_weibull_model"
"PM","lebedev_M16",1314.77452827826,0.66521197429342,3.70137149020866,2.85152077016275,0.065041992317182,1300.90228771372,-646.451143856861,"PM_lebedev_M16"
"PM","elmamoun_2013_M7",1311.42065507786,0.662212097045543,3.71791762750546,2.78991803850885,-0.0262065818116345,1301.01647465445,-647.508237327226,"PM_elmamoun_2013_M7"
"PM","elmamoun_2013_M13",1311.42065507786,0.662212097045543,3.71791762750546,2.78991803850885,-0.0262065818116345,1301.01647465445,-647.508237327226,"PM_elmamoun_2013_M13"
"PM","monomolecular_model",1314.97049410484,0.66493503697877,3.70290206464615,2.77851881271282,-2.48586200402558e-08,1301.0982535403,-646.549126770151,"PM_monomolecular_model"
"PM","elmamoun_2013_M14",1311.5535675777,0.662022608327689,3.71896030053287,2.80710586975725,-0.0457290641948424,1301.1493871543,-647.574693577148,"PM_elmamoun_2013_M14"
"PM","elmamoun_2013_M20",1315.05519084371,0.664815273345141,3.70356377720067,2.7897929605842,-0.0487725935193602,1301.18295027917,-646.591475139586,"PM_elmamoun_2013_M20"
"PM","lebedev_M25_b",1315.13414568086,0.664703590373765,3.70418073633602,2.82062022402198,-0.0653744283106195,1301.26190511631,-646.630952558157,"PM_lebedev_M25_b"
"PM","huang_1992_III",1315.13414574612,0.664703590281433,3.70418073684603,2.82060851877956,-0.0653726884779476,1301.26190518158,-646.630952590789,"PM_huang_1992_III"
"PM","chapman_richards_model",1315.13414584769,0.664703590137733,3.70418073763979,2.82060674839224,-0.0653732449040373,1301.26190528315,-646.630952641575,"PM_chapman_richards_model"
"PM","elmamoun_2013_M10",1312.63502034553,0.660476862439026,3.72745496604673,2.84390944207401,-0.0786151366422013,1302.23083992212,-648.115419961061,"PM_elmamoun_2013_M10"
"PM","wykoff_1982_II",1312.63502034553,0.660476862439026,3.72745496604673,2.84390944207401,-0.0786151366422013,1302.23083992212,-648.115419961061,"PM_wykoff_1982_II"
"PM","wykoff_1982_III",1312.63502034553,0.660476862439026,3.72745496604673,2.84390944207401,-0.0786151366422013,1302.23083992212,-648.115419961061,"PM_wykoff_1982_III"
"PM","hui_gadow_1993_II",1312.63502035922,0.66047686241941,3.72745496615441,2.84390723180229,-0.0786090205909447,1302.23083993581,-648.115419967907,"PM_hui_gadow_1993_II"
"PM","elmamoun_2013_M8",1312.64190453018,0.660467000101817,3.72750910249104,2.84572588770751,-0.0840140038895136,1302.23772410677,-648.118862053385,"PM_elmamoun_2013_M8"
"PM","elmamoun_2013_M4",1316.45347661206,0.662831858324116,3.71450530980707,2.81816214007732,-0.0715018846746121,1302.58123604752,-647.29061802376,"PM_elmamoun_2013_M4"
"PM","elmamoun_2013_M15",1313.33797570225,0.659468322724921,3.73298698785456,2.86150286562652,-0.0979767462047705,1302.93379527884,-648.466897639422,"PM_elmamoun_2013_M15"
"PM","huang_1992_V",1313.42738751382,0.65933982779545,3.7336912169925,2.82036616164341,-0.0206501009468545,1303.02320709042,-648.511603545209,"PM_huang_1992_V"
"PM","curtis_1967_II",1313.42738751521,0.659339827793457,3.73369121700342,2.82036624262812,-0.0206488297108654,1303.02320709181,-648.511603545903,"PM_curtis_1967_II"
"PM","hyperbolic_model_I",1313.42738752664,0.659339827777024,3.73369121709347,2.82036566989289,-0.0206578130298536,1303.02320710324,-648.511603551619,"PM_hyperbolic_model_I"
"PM","elmamoun_2013_M16",1313.69222640743,0.658958939649013,3.73577793207033,2.86765405858515,-0.100568695131565,1303.28804598402,-648.644022992011,"PM_elmamoun_2013_M16"
