"species","model","term","estimate","std.error","statistic","p.value"
"PM","huang_1992","beta1",2.35054400148345,0.273815362437234,8.58441243238227,1.28881945066014e-15
"PM","huang_1992","beta2",0.110632329821452,0.0136018392534254,8.1336301481133,2.44138803782159e-14
"PM","gompertz_model","a",20.0299290255966,0.7789436194755,25.7142218317209,4.02174233680873e-70
"PM","gompertz_model","b",-2.35051484623868,0.273807345903203,-8.58455728601831,1.28758525003005e-15
"PM","gompertz_model","c",0.110630327366063,0.0136016602295696,8.13358998084338,2.44201899742867e-14
"PM","lebedev_M18","a",0.119147396996028,0.0153057624990449,7.78447966923982,2.24782640932921e-13
"PM","lebedev_M18","b",18.550286285144,0.743257335884666,24.958093771203,6.76832635155154e-68
"PM","lebedev_M18","c",2.87746398007389,0.420337944603094,6.84559654206558,6.62970155898221e-11
"PM","lebedev_M28_b","a",1.12652924779562,0.01724163861114,65.3377137291206,2.92882035785083e-152
"PM","lebedev_M28_b","b",18.5505153102032,0.743305671196726,24.9567789256024,6.82934944401115e-68
"PM","lebedev_M28_b","c",-24.1504810974736,2.01991683111756,-11.9561759798357,4.98302354188375e-26
"PM","elmamoun_2013_M19","a",18.6473369569363,1.09192882265064,17.0774290137979,5.26227823975966e-43
"PM","elmamoun_2013_M19","b",-0.0256640150698099,0.0110069512547129,-2.33161885393298,0.0205706367305347
"PM","elmamoun_2013_M19","c",1.34276734837355,0.1812105080091,7.40998611573959,2.28726045061752e-12
"PM","yang_1978","a",18.6473369569363,1.09192882265064,17.0774290137979,5.26227823975966e-43
"PM","yang_1978","b",-0.0256640150698099,0.0110069512547129,-2.33161885393298,0.0205706367305347
"PM","yang_1978","c",1.34276734837355,0.1812105080091,7.40998611573959,2.28726045061752e-12
"PM","lebedev_M15","a",0.17775778362371,0.0213365886789681,8.33112482497866,6.79723619527489e-15
"PM","lebedev_M15","b",17.9134693904602,0.572144396042509,31.309350426862,1.2475466475246e-85
"PM","lebedev_M15","c",8.74555416770749,2.22958137686249,3.9225095161202,0.000115196075948293
"PM","lebedev_M13","a",1.19452742603505,0.025486105145133,46.8697519386625,6.37967426679998e-121
"PM","lebedev_M13","b",17.9135814086302,0.572168741794401,31.3082139937438,1.25613891364087e-85
"PM","lebedev_M13","c",8.74481887901441,2.22928421833691,3.92270254599399,0.000115109514561533
"PM","lebedev_M23","a",1.19452533604956,0.025485805713994,46.8702206025863,6.36619212877507e-121
"PM","lebedev_M23","b",17.9136092415363,0.572174780406722,31.3079322174994,1.25827851799622e-85
"PM","lebedev_M23","c",0.114355743248189,0.0291519353361492,3.9227496195213,0.000115088414501432
"PM","zeide_1992","beta0",19.6999828367646,1.04079325471853,18.9278540646309,5.12681996848996e-49
"PM","zeide_1992","beta1",2.14705722116038,0.437793245557238,4.90427214889425,1.75958731973438e-06
"PM","zeide_1992","beta2",0.0756205295564844,0.0622665576141829,1.2144645930974,0.225799762881174
"PM","zeide_1992","beta3",1.12518536296388,0.277606593349924,4.05316512618122,6.88926550729505e-05
"PM","elmamoun_2013_M9","a",19.3593292105871,1.24439123068066,15.5572690752552,5.98654830089744e-38
"PM","elmamoun_2013_M9","b",-0.0827533859988664,0.0210573352896334,-3.92990779035589,0.000111922237439665
"PM","elmamoun_2013_M9","c",1.48076245510141,0.366153366125415,4.04410444391278,7.13389381923692e-05
"PM","chapman_richards_1959","a",19.3593292105871,1.24439123068066,15.5572690752552,5.98654830089744e-38
"PM","chapman_richards_1959","b",-0.0827533859988664,0.0210573352896334,-3.92990779035589,0.000111922237439665
"PM","chapman_richards_1959","c",1.48076245510141,0.366153366125415,4.04410444391278,7.13389381923692e-05
"PM","curtis_1967_I","a",21.6593911747796,1.14062689661706,18.9890237018068,2.3360330084128e-49
"PM","curtis_1967_I","b",0.0615659447638104,0.00745624076526402,8.25696845126358,1.08378691566083e-14
"PM","meyer_1940","beta0",21.659070012884,1.14056607343831,18.9897547518587,2.32323782250841e-49
"PM","meyer_1940","beta1",0.0615681485231514,0.00745641554042185,8.25707046360083,1.0830695357172e-14
"PM","huang_1992_II","a",20.6652291493554,1.47886786035159,13.9736819653667,1.1356875300103e-32
"PM","huang_1992_II","b",0.0487096662322878,0.0155848084506949,3.12545812714919,0.00199977995135192
"PM","huang_1992_II","c",1.11529260758436,0.14963436025136,7.4534525740669,1.75324944716075e-12
"PM","weibull_model","a",20.6652291493554,1.47886786035159,13.9736819653667,1.1356875300103e-32
"PM","weibull_model","b",0.0487096662322878,0.0155848084506949,3.12545812714919,0.00199977995135192
"PM","weibull_model","c",1.11529260758436,0.14963436025136,7.4534525740669,1.75324944716075e-12
"PM","lebedev_M16","a",1.1272021060023,0.0140477910703284,80.2405232508878,3.02501669137568e-172
"PM","lebedev_M16","b",17.3621932098034,0.438913871440191,39.5571758824426,1.29705157765899e-105
"PM","lebedev_M16","c",0.156431809913766,0.0286941731583368,5.45169254575006,1.26412952787901e-07
"PM","elmamoun_2013_M7","a",1.45606347544391,0.145845579233537,9.98359691871338,8.55880570630695e-20
"PM","elmamoun_2013_M7","b",0.194616679644304,0.00613670548028446,31.7135440619652,7.14053587716097e-87
"PM","elmamoun_2013_M13","a",1.45606347544391,0.145845579233537,9.98359691871338,8.55880570630695e-20
"PM","elmamoun_2013_M13","b",0.194616679644304,0.00613670548028446,31.7135440619652,7.14053587716097e-87
"PM","monomolecular_model","a",21.9387644737248,1.38293873974638,15.8638729563308,5.68912700060084e-39
"PM","monomolecular_model","b",0.977885563335525,0.0392364462219189,24.9228882199133,8.60766714707787e-68
"PM","monomolecular_model","c",0.0585881825508321,0.00959468481274977,6.10631653819185,4.2070430497622e-09
"PM","elmamoun_2013_M14","a",0.272622399318711,0.00638537860514656,42.6947901098582,1.03877952936233e-112
"PM","elmamoun_2013_M14","b",1.50143174817951,0.149547388319934,10.0398393114524,5.7454433108836e-20
"PM","elmamoun_2013_M20","a",22.154896211763,2.54926358506,8.69070438286653,6.36710987314627e-16
"PM","elmamoun_2013_M20","b",0.0176772959115909,0.00988939809802856,1.78749967757035,0.0751508693820234
"PM","elmamoun_2013_M20","c",1.53427410906162,0.286928970647864,5.34722619886498,2.12127687368107e-07
"PM","lebedev_M25_b","a",0.0679580352870926,0.0191915332231801,3.54104252624335,0.00048082200360147
"PM","lebedev_M25_b","b",0.919981686081229,0.194617388766863,4.72712994409404,3.93345751396063e-06
"PM","lebedev_M25_b","c",21.2499222006575,1.52864231504709,13.9011736045021,1.97825827047695e-32
